# simulation command: /data1/gerryt/tracm/scripts/tracm-sim.py -t 5 --genomes ./mu_genomes/GCF_000160055.1_ASM16005v1_genomic.fna ./mu_genomes/GCF_000240185.1_ASM24018v2_genomic.fna ./mu_genomes/GCF_000307345.1_Para_merd_CL03T12C32_V1_genomic.fna ./mu_genomes/GCF_002234575.2_ASM223457v2_genomic.fna ./mu_genomes/GCF_003641185.1_ASM364118v1_genomic.fna ./mu_genomes/GCF_009731575.1_ASM973157v1_genomic.fna ./mu_genomes/GCF_009734005.1_ASM973400v2_genomic.fna ./mu_genomes/GCF_015560805.1_ASM1556080v1_genomic.fna ./mu_genomes/GCF_018292125.1_ASM1829212v1_genomic.fna ./mu_genomes/GCF_018292165.1_ASM1829216v1_genomic.fna --tran-genome ./mu_genomes/GCF_002234575.2_ASM223457v2_genomic.fna -d 5 -b 10000 -n 5 -o sim_d5_ref_GCF_002234575.2_ASM223457v2_genomic --prefix sim_d5_ref_GCF_002234575.2_ASM223457v2_genomic
genome,propA,propB,distance
GCF_000160055.1_ASM16005v1_genomic,0.07579415076123396,0.0,9934
GCF_000240185.1_ASM24018v2_genomic,0.009272555066601193,0.0,9929
GCF_000307345.1_Para_merd_CL03T12C32_V1_genomic,0.0,0.10347508384104234,9987
GCF_002234575.2_ASM223457v2_genomic,0.41727602468560815,0.8965249161589576,5
GCF_003641185.1_ASM364118v1_genomic,0.344335368866231,0.0,9821
GCF_009731575.1_ASM973157v1_genomic,0.0,0.0,9971
GCF_009734005.1_ASM973400v2_genomic,0.019712599147627446,0.0,9900
GCF_015560805.1_ASM1556080v1_genomic,0.0,0.0,10026
GCF_018292125.1_ASM1829212v1_genomic,0.0,0.0,10109
GCF_018292165.1_ASM1829216v1_genomic,0.13360930147269837,0.0,9925
