# simulation command: /data1/gerryt/tracm/scripts/tracm-sim.py -t 5 --genomes ./ref_genomes/6259_5#12.fasta ./ref_genomes/6259_5#13.fasta ./ref_genomes/6259_5#18.fasta ./ref_genomes/6259_5#20.fasta ./ref_genomes/6259_5#24.fasta ./ref_genomes/6259_6#18.fasta ./ref_genomes/6259_6#19.fasta ./ref_genomes/6259_6#1.fasta ./ref_genomes/6259_6#21.fasta ./ref_genomes/6259_6#23.fasta ./ref_genomes/6259_6#4.fasta ./ref_genomes/6259_6#9.fasta ./ref_genomes/6259_7#10.fasta ./ref_genomes/6259_7#12.fasta ./ref_genomes/6259_7#5.fasta ./ref_genomes/6259_7#6.fasta ./ref_genomes/6259_8#10.fasta ./ref_genomes/6259_8#16.fasta ./ref_genomes/6259_8#22.fasta ./ref_genomes/6259_8#4.fasta ./ref_genomes/6593_5#13.fasta ./ref_genomes/6593_5#2.fasta ./ref_genomes/6630_2#21.fasta ./ref_genomes/6630_4#15.fasta ./ref_genomes/6630_4#2.fasta ./ref_genomes/6631_3#20.fasta ./ref_genomes/6631_5#13.fasta ./ref_genomes/6753_1#9.fasta --tran-genome ./ref_genomes/6259_6#1.fasta -d 50 -b 10000 -n 2 -o sim_d50_rep1 --prefix sim_d50_rep1
genome,propA,propB,distance
6259_5#12,0.0,0.0,10040
6259_5#13,0.0,0.0,9982
6259_5#18,0.0,0.0,10049
6259_5#20,0.0,0.11107162186428185,10052
6259_5#24,0.0,0.0,9872
6259_6#18,0.0,0.0,10069
6259_6#19,0.06405128908257954,0.30036131206588573,9858
6259_6#1,0.17416182326048538,0.1615823628488104,50
6259_6#21,0.0,0.0,9833
6259_6#23,0.17129849751173373,0.0,10107
6259_6#4,0.0,0.050138960485713015,9916
6259_6#9,0.10707698815683311,0.0,10353
6259_7#10,0.03283460193715798,0.17628683948533425,9973
6259_7#12,0.1452446183628167,0.0,10070
6259_7#5,0.0,0.0,9836
6259_7#6,0.0,0.0,10088
6259_8#10,0.0,0.0,10003
6259_8#16,0.0,0.0,9929
6259_8#22,0.3053321816883935,0.10236203882286511,9940
6259_8#4,0.0,0.09819686442710952,10097
6593_5#13,0.0,0.0,9988
6593_5#2,0.0,0.0,9972
6630_2#21,0.0,0.0,9963
6630_4#15,0.0,0.0,9946
6630_4#2,0.0,0.0,9949
6631_3#20,0.0,0.0,9965
6631_5#13,0.0,0.0,9964
6753_1#9,0.0,0.0,10025
