# simulation command: /data1/gerryt/tracm/scripts/tracm-sim.py -t 5 --genomes ./ref_genomes/6259_5#12.fasta ./ref_genomes/6259_5#13.fasta ./ref_genomes/6259_5#18.fasta ./ref_genomes/6259_5#20.fasta ./ref_genomes/6259_5#24.fasta ./ref_genomes/6259_6#18.fasta ./ref_genomes/6259_6#19.fasta ./ref_genomes/6259_6#1.fasta ./ref_genomes/6259_6#21.fasta ./ref_genomes/6259_6#23.fasta ./ref_genomes/6259_6#4.fasta ./ref_genomes/6259_6#9.fasta ./ref_genomes/6259_7#10.fasta ./ref_genomes/6259_7#12.fasta ./ref_genomes/6259_7#5.fasta ./ref_genomes/6259_7#6.fasta ./ref_genomes/6259_8#10.fasta ./ref_genomes/6259_8#16.fasta ./ref_genomes/6259_8#22.fasta ./ref_genomes/6259_8#4.fasta ./ref_genomes/6593_5#13.fasta ./ref_genomes/6593_5#2.fasta ./ref_genomes/6630_2#21.fasta ./ref_genomes/6630_4#15.fasta ./ref_genomes/6630_4#2.fasta ./ref_genomes/6631_3#20.fasta ./ref_genomes/6631_5#13.fasta ./ref_genomes/6753_1#9.fasta --tran-genome ./ref_genomes/6259_6#1.fasta -d 10 -b 10000 -n 2 -o sim_d10_rep3 --prefix sim_d10_rep3
genome,propA,propB,distance
6259_5#12,0.0,0.0,10081
6259_5#13,0.0,0.0,9798
6259_5#18,0.0,0.0,9903
6259_5#20,0.0,0.22969237176279836,10104
6259_5#24,0.0,0.0,10073
6259_6#18,0.0,0.0,10070
6259_6#19,0.0,0.0,10010
6259_6#1,1.0,0.7703076282372017,10
6259_6#21,0.0,0.0,10165
6259_6#23,0.0,0.0,10139
6259_6#4,0.0,0.0,9935
6259_6#9,0.0,0.0,9752
6259_7#10,0.0,0.0,10237
6259_7#12,0.0,0.0,10146
6259_7#5,0.0,0.0,10101
6259_7#6,0.0,0.0,10115
6259_8#10,0.0,0.0,9893
6259_8#16,0.0,0.0,10053
6259_8#22,0.0,0.0,9947
6259_8#4,0.0,0.0,9919
6593_5#13,0.0,0.0,9936
6593_5#2,0.0,0.0,10043
6630_2#21,0.0,0.0,10124
6630_4#15,0.0,0.0,9964
6630_4#2,0.0,0.0,10008
6631_3#20,0.0,0.0,9953
6631_5#13,0.0,0.0,10099
6753_1#9,0.0,0.0,9893
