# simulation command: /data1/gerryt/tracm/scripts/tracm-sim.py -t 5 --genomes ./ref_genomes/6259_5#12.fasta ./ref_genomes/6259_5#13.fasta ./ref_genomes/6259_5#18.fasta ./ref_genomes/6259_5#20.fasta ./ref_genomes/6259_5#24.fasta ./ref_genomes/6259_6#18.fasta ./ref_genomes/6259_6#19.fasta ./ref_genomes/6259_6#1.fasta ./ref_genomes/6259_6#21.fasta ./ref_genomes/6259_6#23.fasta ./ref_genomes/6259_6#4.fasta ./ref_genomes/6259_6#9.fasta ./ref_genomes/6259_7#10.fasta ./ref_genomes/6259_7#12.fasta ./ref_genomes/6259_7#5.fasta ./ref_genomes/6259_7#6.fasta ./ref_genomes/6259_8#10.fasta ./ref_genomes/6259_8#16.fasta ./ref_genomes/6259_8#22.fasta ./ref_genomes/6259_8#4.fasta ./ref_genomes/6593_5#13.fasta ./ref_genomes/6593_5#2.fasta ./ref_genomes/6630_2#21.fasta ./ref_genomes/6630_4#15.fasta ./ref_genomes/6630_4#2.fasta ./ref_genomes/6631_3#20.fasta ./ref_genomes/6631_5#13.fasta ./ref_genomes/6753_1#9.fasta --tran-genome ./ref_genomes/6259_6#1.fasta -d 50 -b 10000 -n 2 -o sim_d50_rep2 --prefix sim_d50_rep2
genome,propA,propB,distance
6259_5#12,0.0,0.0,10078
6259_5#13,0.0,0.0,9978
6259_5#18,0.0,0.0,10060
6259_5#20,0.0,0.0,9970
6259_5#24,0.0,0.0,9980
6259_6#18,0.0,0.0,9718
6259_6#19,0.0,0.0,9938
6259_6#1,1.0,1.0,50
6259_6#21,0.0,0.0,10044
6259_6#23,0.0,0.0,10156
6259_6#4,0.0,0.0,10179
6259_6#9,0.0,0.0,10121
6259_7#10,0.0,0.0,10028
6259_7#12,0.0,0.0,10132
6259_7#5,0.0,0.0,10086
6259_7#6,0.0,0.0,9990
6259_8#10,0.0,0.0,10024
6259_8#16,0.0,0.0,10069
6259_8#22,0.0,0.0,9937
6259_8#4,0.0,0.0,10012
6593_5#13,0.0,0.0,9999
6593_5#2,0.0,0.0,9902
6630_2#21,0.0,0.0,10058
6630_4#15,0.0,0.0,10034
6630_4#2,0.0,0.0,9876
6631_3#20,0.0,0.0,10171
6631_5#13,0.0,0.0,9880
6753_1#9,0.0,0.0,9979
