# simulation command: /data1/gerryt/tracm/scripts/tracm-sim.py -t 5 --genomes ./ref_genomes/6259_5#12.fasta ./ref_genomes/6259_5#13.fasta ./ref_genomes/6259_5#18.fasta ./ref_genomes/6259_5#20.fasta ./ref_genomes/6259_5#24.fasta ./ref_genomes/6259_6#18.fasta ./ref_genomes/6259_6#19.fasta ./ref_genomes/6259_6#1.fasta ./ref_genomes/6259_6#21.fasta ./ref_genomes/6259_6#23.fasta ./ref_genomes/6259_6#4.fasta ./ref_genomes/6259_6#9.fasta ./ref_genomes/6259_7#10.fasta ./ref_genomes/6259_7#12.fasta ./ref_genomes/6259_7#5.fasta ./ref_genomes/6259_7#6.fasta ./ref_genomes/6259_8#10.fasta ./ref_genomes/6259_8#16.fasta ./ref_genomes/6259_8#22.fasta ./ref_genomes/6259_8#4.fasta ./ref_genomes/6593_5#13.fasta ./ref_genomes/6593_5#2.fasta ./ref_genomes/6630_2#21.fasta ./ref_genomes/6630_4#15.fasta ./ref_genomes/6630_4#2.fasta ./ref_genomes/6631_3#20.fasta ./ref_genomes/6631_5#13.fasta ./ref_genomes/6753_1#9.fasta --tran-genome ./ref_genomes/6259_6#1.fasta -d 5 -b 10000 -n 2 -o sim_d5_rep1 --prefix sim_d5_rep1
genome,propA,propB,distance
6259_5#12,0.0,0.0,10023
6259_5#13,0.0,0.0,10058
6259_5#18,0.0,0.0,9937
6259_5#20,0.0,0.0,10088
6259_5#24,0.0,0.0,10082
6259_6#18,0.0,0.0,9762
6259_6#19,0.0,0.0,10058
6259_6#1,1.0,0.11857581017420961,5
6259_6#21,0.0,0.0,9914
6259_6#23,0.0,0.0,10111
6259_6#4,0.0,0.0,9998
6259_6#9,0.0,0.0,10176
6259_7#10,0.0,0.0,9882
6259_7#12,0.0,0.0,9932
6259_7#5,0.0,0.0,9996
6259_7#6,0.0,0.0,9853
6259_8#10,0.0,0.0,9771
6259_8#16,0.0,0.8814241898257903,10067
6259_8#22,0.0,0.0,9928
6259_8#4,0.0,0.0,9935
6593_5#13,0.0,0.0,9850
6593_5#2,0.0,0.0,10177
6630_2#21,0.0,0.0,9810
6630_4#15,0.0,0.0,9990
6630_4#2,0.0,0.0,9922
6631_3#20,0.0,0.0,10096
6631_5#13,0.0,0.0,10175
6753_1#9,0.0,0.0,9799
