# simulation command: /data1/gerryt/tracm/scripts/tracm-sim.py -t 5 --genomes ./ref_genomes/6259_5#12.fasta ./ref_genomes/6259_5#13.fasta ./ref_genomes/6259_5#18.fasta ./ref_genomes/6259_5#20.fasta ./ref_genomes/6259_5#24.fasta ./ref_genomes/6259_6#18.fasta ./ref_genomes/6259_6#19.fasta ./ref_genomes/6259_6#1.fasta ./ref_genomes/6259_6#21.fasta ./ref_genomes/6259_6#23.fasta ./ref_genomes/6259_6#4.fasta ./ref_genomes/6259_6#9.fasta ./ref_genomes/6259_7#10.fasta ./ref_genomes/6259_7#12.fasta ./ref_genomes/6259_7#5.fasta ./ref_genomes/6259_7#6.fasta ./ref_genomes/6259_8#10.fasta ./ref_genomes/6259_8#16.fasta ./ref_genomes/6259_8#22.fasta ./ref_genomes/6259_8#4.fasta ./ref_genomes/6593_5#13.fasta ./ref_genomes/6593_5#2.fasta ./ref_genomes/6630_2#21.fasta ./ref_genomes/6630_4#15.fasta ./ref_genomes/6630_4#2.fasta ./ref_genomes/6631_3#20.fasta ./ref_genomes/6631_5#13.fasta ./ref_genomes/6753_1#9.fasta --tran-genome ./ref_genomes/6259_6#1.fasta -d 0 -b 10000 -n 2 -o sim_d0_rep2 --prefix sim_d0_rep2
genome,propA,propB,distance
6259_5#12,0.0,0.0,10012
6259_5#13,0.0,0.0,9987
6259_5#18,0.0,0.0,9963
6259_5#20,0.0,0.0,9936
6259_5#24,0.0,0.0,10151
6259_6#18,0.0,0.0,10003
6259_6#19,0.3841896736883733,0.0,10039
6259_6#1,0.31301061629593196,1.0,0
6259_6#21,0.0,0.0,10040
6259_6#23,0.0,0.0,10013
6259_6#4,0.0,0.0,9894
6259_6#9,0.0,0.0,9741
6259_7#10,0.0,0.0,10221
6259_7#12,0.0,0.0,9902
6259_7#5,0.0,0.0,10071
6259_7#6,0.0,0.0,9866
6259_8#10,0.0,0.0,9904
6259_8#16,0.0,0.0,10115
6259_8#22,0.0,0.0,10017
6259_8#4,0.0,0.0,10064
6593_5#13,0.0,0.0,9925
6593_5#2,0.0,0.0,10081
6630_2#21,0.0,0.0,10220
6630_4#15,0.30279971001569483,0.0,10128
6630_4#2,0.0,0.0,10152
6631_3#20,0.0,0.0,10060
6631_5#13,0.0,0.0,9925
6753_1#9,0.0,0.0,10024
